entry_idx,exit_idx,entry_time,exit_time,entry,exit,sl,tp,r_result,exit_reason,schema_version,ticker,interval,strategy,market_mode,data_start,data_end
1723.0,1724.0,2025-08-14 20:45:00,2025-08-14 21:00:00,17.961776399999998,17.811289900000002,17.8202,19.01,-1.189804772546824,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
4144.0,4153.0,2025-12-29 22:00:00,2025-12-30 00:15:00,40.57197585,40.028575700000005,40.0486,42.264,-1.1157796559585174,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
,,,2026-02-16 17:24:54.030617+00:00,,,,,,__META__,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,2025-05-08 22:30:00,2026-02-14 03:45:00
224.0,224.0,2023-04-19 20:30:00,2023-04-19 20:30:00,4.437217499999999,4.249374250000001,4.2515,5.29,-1.0353384441423097,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
245.0,247.0,2023-05-04 00:30:00,2023-05-05 00:30:00,3.8019,3.56911455,3.5709,5.07,-1.0241876623376618,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
252.0,252.0,2023-05-09 20:30:00,2023-05-09 20:30:00,3.8019,3.5736123,3.5754,5.07,-1.024678145695364,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
256.0,256.0,2023-05-11 20:30:00,2023-05-11 20:30:00,3.77018415,3.5595193500000004,3.5613,5.07,-1.0265737450639492,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
260.0,271.0,2023-05-15 20:30:00,2023-05-23 00:30:00,3.77018415,4.03798,3.5617,5.07,1.266406419145054,TIME_STOP,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
280.0,281.0,2023-05-30 20:30:00,2023-05-31 00:30:00,3.8019,3.5872055,3.589,5.07,-1.026286519492719,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
300.0,300.0,2023-06-13 20:30:00,2023-06-13 20:30:00,3.8019,3.58910455,3.5909,5.07,-1.026527725118483,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
319.0,324.0,2023-06-28 00:30:00,2023-06-30 20:30:00,4.46223,4.897550000000001,4.1408,4.9,1.3404404380424988,TP,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
326.0,,2023-07-03 20:30:00,,4.962479999999999,,4.3251,5.76,,CANCELED,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
382.0,382.0,2023-08-11 20:30:00,2023-08-11 20:30:00,5.7278625,5.3445264,5.3472,8.06,-1.0220706334351286,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
404.0,406.0,2023-08-28 20:30:00,2023-08-29 20:30:00,4.392194999999999,4.667665,4.1696,4.67,1.2178072508367312,TP,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
410.0,414.0,2023-08-31 20:30:00,2023-09-05 20:30:00,5.192595,4.34872455,4.3509,6.2219,-1.008753818188299,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
416.0,,2023-09-06 20:30:00,,5.192595,,4.35,6.2219,,CANCELED,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
429.0,431.0,2023-09-15 00:30:00,2023-09-16 00:30:00,5.192595,4.5127425,4.3489,6.2219,-0.8119582254250653,TIME_STOP,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
433.0,,2023-09-19 00:30:00,,4.9474725,,4.415,6.2219,,CANCELED,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
473.0,474.0,2023-10-17 00:30:00,2023-10-17 20:30:00,3.3966975,3.16911465,3.1707,3.67,-1.022044701821923,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
483.0,484.0,2023-10-24 00:30:00,2023-10-24 20:30:00,3.2766375,3.668165,3.0197,3.67,1.5110712235465853,TP,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
528.0,,2023-11-24 21:30:00,,3.1865925,,3.069,3.55,,CANCELED,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
540.0,551.0,2023-12-05 01:30:00,2023-12-12 21:30:00,5.332665,5.05747,4.9393,6.27,-0.7131485134671376,TIME_STOP,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
565.0,,2023-12-21 21:30:00,,5.602799999999999,,5.4764,7.55,,CANCELED,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
615.0,617.0,2024-01-30 21:30:00,2024-01-31 21:30:00,4.232115,4.05986905,4.0619,9.69,-1.0367950239403103,SL,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,,
,,,2026-02-16 17:28:52.522175+00:00,,,,,,__META__,2,IREN,4h,SMC (BOS/OB/FVG),us_equity,2022-11-04 00:30:00,2026-02-14 01:30:00
,,,2026-02-16 17:29:08.620593+00:00,,,,,,__META__,2,IREN,4h,Momentum Breakout (EMA50 + VCP),us_equity,2022-11-04 00:30:00,2026-02-14 01:30:00
313.0,324.0,2023-06-23 00:30:00,2023-06-30 20:30:00,4.6023,4.6650663,3.8164,6.1673,0.0740094159562294,TIME_STOP,2,IREN,4h,Volume Profile (POC),us_equity,,
1259.0,1262.0,2025-05-14 00:30:00,2025-05-15 20:30:00,7.90395,7.6479741,7.6518,11.4813,-1.046519333729922,SL,2,IREN,4h,Volume Profile (POC),us_equity,,
,,,2026-02-16 17:30:43.688147+00:00,,,,,,__META__,2,IREN,4h,Volume Profile (POC),us_equity,2022-11-04 00:30:00,2026-02-14 01:30:00
,,,2026-02-16 17:31:25.358149+00:00,,,,,,__META__,2,IREN,4h,Pullback Reversal (EMA200 + Fib + RSI),us_equity,2022-11-04 00:30:00,2026-02-14 01:30:00
